country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Silchar,"Tarapur, Silchar - PCBA","23-02-2025 22:00:00",24.82827,92.79525,PM2.5,38,79,57
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","23-02-2025 22:00:00",26.987634,94.636574,NH3,3,7,5
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","23-02-2025 22:00:00",26.987634,94.636574,CO,4,28,15
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","23-02-2025 22:00:00",26.146529,87.454184,NH3,4,4,4
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","23-02-2025 22:00:00",26.146529,87.454184,OZONE,9,11,10
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","23-02-2025 22:00:00",25.5626095,84.663264,PM10,60,110,86
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","23-02-2025 22:00:00",25.5626095,84.663264,NO2,4,10,7
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","23-02-2025 22:00:00",14.465052,78.824187,OZONE,41,129,117
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-02-2025 22:00:00",16.9872867,81.7363176,SO2,8,13,11
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-02-2025 22:00:00",16.9872867,81.7363176,CO,20,62,32
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","23-02-2025 22:00:00",16.9872867,81.7363176,OZONE,1,7,3
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","23-02-2025 22:00:00",13.67,79.35,NH3,1,4,2
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","23-02-2025 22:00:00",13.615387,79.409230,NH3,2,7,3
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","23-02-2025 22:00:00",25.5626095,84.663264,OZONE,21,149,106
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","23-02-2025 22:00:00",24.75746,84.366208,NO2,2,3,2
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","23-02-2025 22:00:00",25.42742023,86.13886079,PM10,27,140,92
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","23-02-2025 22:00:00",26.80365,84.51954,PM10,NA,NA,NA
